Latitude,Longitude,Building,HP,Fuel
43.0761527,-89.4151121,Animal Science,67.02412869,NG
43.07075038,-89.40690774,Atmos-Oceanic Space Sciences,40.21447721,NG
43.0748693,-89.4111082,Bock Labs,13.40482574,NG
43.0725942,-89.4046935,Chemistry,100.536193,NG
43.0719198,-89.4034558,Education Sciences,67.02412869,NG
43.0737996,-89.4154805,Enzyme Institute,20.10723861,NG
43.0753791,-89.4000621,Historical Society-State,46.91689008,NG
43.0739127,-89.39986,Humanities,80.42895442,NG
43.0762567,-89.3957638,Lowell Center,33.51206434,NG
43.0729928,-89.4113067,Materials Sci Engineering,73.72654155,NG
43.0747905,-89.4081834,Middleton Bldg,20.10723861,NG
43.0796434,-89.4303008,Nielsen Tennis Stadium,20.10723861,NG
43.0715252,-89.4045134,Noland Zoology,73.72654155,NG
43.0725623,-89.4061045,Psychology,50.26809651,NG
43.0755304,-89.4135221,Russell Labs,20.10723861,NG
43.0716783,-89.4003409,Sellery Hall,100.536193,NG
43.0764588,-89.4120817,"Smith Annex, Hiram",13.40482574,NG
43.0765006,-89.4052976,Social Science,33.51206434,NG
43.0747966,-89.4098407,Stovall/SLOH,80.42895442,NG
43.0712971,-89.4035968,Teacher Education,134.0482574,NG
43.0768814,-89.4381888,University Ave. 2880,53.61930295,NG
43.0690363,-89.3954208,Art Lofts,80.42895442,NG
43.0431143,-89.4083434,WHA AM Tower,28.15013405,NG
43.0748378,-89.4136362,Babcock Hall,26.80965147,NG
43.0757439,-89.4022539,Education Bldg,335.1206434,NG
43.0758633,-89.4188295,Parking Ramp 67,67.02412869,NG
43.0750949,-89.4201781,Vet Med  Renovation,97.85522788,NG
43.0762567,-89.3957638,Lowell Center,46.64879357,NG
43.0762598,-89.4000038,Memorial Union,268.0965147,NG
43.072523,-89.4096986,1410 Engineering Dr.,26.80965147,Diesel
43.0685554,-89.4045738,30 N. Mills/Parking Lot 51,67.02412869,Diesel
43.0757248,-89.4102739,Agricultural Hall,16.75603217,Diesel
43.0741654,-89.4119653,Biochemistry Addition,938,Diesel
43.0738783,-89.4098433,Biotech-Genetics,670.2412869,Diesel
43.0744596,-89.4037083,Birge Hall,33.51206434,Diesel
43.0727087,-89.4016356,Business School-Grainger,690.3485255,Diesel
43.0700135,-89.410928,Camp Randall Sports,20.10723861,Diesel
43.0725942,-89.4046935,Chemistry Addition,755,Diesel
43.0711993,-89.4065681,Computer Science-Stat.,234.5844504,Diesel
43.0763243,-89.4320309,CSC (Caterpillar) - Removed from Service,871.3136729,Diesel
43.0763243,-89.4320309,CSC (Detroit),2010.723861,Diesel
43.0727698,-89.4134706,Engineering Centers Bldg,1367.292225,Diesel
43.07179254,-89.4102207,Engineering Hall,201.0723861,Diesel
43.072873,-89.3965423,Fluno Center (Parking Ramp #83),355.227882,Diesel
43.0760737,-89.4239589,Greenhouse-Walnut St.,26.80965147,Diesel
43.0748107,-89.4122133,Holticulture-Moore Hall,26.80965147,Diesel
43.0693474,-89.3969006,Kohl Center,2010.723861,Diesel
43.0736979,-89.4029647,Lathrop Hall,16.75603217,Diesel
43.0745696,-89.4022331,Law Bldg,308.310992,Diesel
43.0757679,-89.4168994,Livestock Laboratory (Large Animal Holding Facility),402.1447721,Diesel
43.074179,-89.4073316,Medical Science Center,268.0965147,Diesel
43.0745924,-89.3993421,Memorial Library,201.0723861,Diesel
43.0762598,-89.4000038,Memorial Union,134.0482574,Diesel
43.074618,-89.4013384,Music Hall,23.45844504,Diesel
43.0747932,-89.408811,Nutritional Sciences,73.72654155,Diesel
43.0704831,-89.3999426,Ogg Hall,335.1206434,Diesel
43.0718538,-89.4122873,Parking Ramp 17,26.80965147,Diesel
43.0723164,-89.3966146,Parking Ramp 46,68,Diesel
43.076502,-89.4301736,Parking Ramp-West (CSC),134.0482574,Diesel
43.0786161,-89.428259,Pharmacy-Rennebohm Hall,1550,Diesel
43.0693157,-89.409964,Police & Security Facility (New),308.310992,Diesel
43.0688898,-89.4065277,Primate Center Addition,755,Diesel
43.0762559,-89.3984543,Red Gym,643,Diesel
43.0758561,-89.400864,Science Hall,26.80965147,Diesel
43.0761052,-89.4133724,Steenbock Memorial Library,20.10723861,Diesel
